"name","pop","popDensity"
"Brazil","215353593","25.2888"
"Colombia","51512762","45.1175"
"Argentina","46010234","16.5481"
"Peru","33684208","26.2090"
"Venezuela","29266991","31.9353"
"Chile","19250195","25.4598"
"Ecuador","18113361","65.4288"
"Bolivia","11992656","10.9165"
"Paraguay","7305843","17.9614"
"Uruguay","3496016","19.3114"
"Guyana","794045","3.6938"
"Suriname","596831","3.6432"
"French Guiana","314169","3.7610"
"Falkland Islands","3539","0.2907"
